ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
30,F,Ship,5,4,$183,2,low,F,36,3819,FALSE
31,D,Ship,3,4,$266,2,medium,F,38,2741,FALSE
32,F,Ship,5,3,$257,2,low,F,61,3341,FALSE
33,A,Ship,3,1,$223,3,low,F,22,3795,FALSE
34,B,Ship,4,2,$234,3,medium,M,4,3261,FALSE
35,C,Ship,4,2,$227,4,medium,F,22,2460,FALSE
36,F,Ship,5,4,$149,3,medium,F,44,1811,FALSE
37,D,Ship,3,5,$137,4,high,F,62,1477,FALSE
38,F,Ship,2,4,$181,6,medium,F,16,3605,FALSE
39,A,Ship,5,1,$215,4,low,F,56,3905,FALSE
40,B,Ship,4,2,$269,5,low,F,45,2383,FALSE
41,C,Ship,5,1,$227,2,low,M,15,3798,FALSE
42,F,Ship,5,5,$139,4,medium,M,61,1265,FALSE
43,D,Ship,3,5,$137,2,medium,M,38,1647,FALSE
44,F,Ship,3,1,$174,2,low,M,44,1556,FALSE
45,A,Ship,3,1,$151,2,low,M,29,1328,FALSE
46,B,Ship,5,1,$210,3,low,F,9,2944,FALSE
47,C,Ship,3,4,$169,4,medium,F,32,1245,FALSE
48,F,Ship,5,1,$160,2,low,M,32,1576,FALSE
49,D,Ship,5,4,$190,2,medium,M,9,3753,FALSE
50,F,Ship,5,3,$216,3,low,F,40,2146,FALSE
51,A,Ship,4,1,$183,3,low,M,37,2042,FALSE
52,B,Ship,4,4,$141,3,low,M,22,1735,FALSE
53,C,Ship,4,3,$165,3,low,F,44,1320,FALSE
54,F,Ship,2,1,$170,3,low,M,41,1128,FALSE
55,D,Ship,4,3,$203,3,high,M,12,3539,FALSE
56,F,Ship,2,5,$246,5,low,M,46,2437,FALSE
57,A,Ship,3,3,$238,3,low,F,61,3096,FALSE
58,B,Ship,3,3,$193,3,medium,F,29,3453,FALSE
59,C,Ship,5,5,$141,3,high,M,41,1367,FALSE
60,F,Ship,4,1,$150,3,high,F,17,1923,FALSE
61,D,Ship,3,1,$221,3,low,F,64,2794,FALSE
62,F,Ship,3,3,$179,3,medium,M,52,1158,FALSE
63,A,Ship,5,1,$105,6,medium,M,62,1292,FALSE
64,B,Ship,3,1,$177,3,medium,M,61,1880,FALSE
65,C,Ship,4,5,$261,2,high,M,49,3045,FALSE
66,F,Ship,3,2,$202,3,low,M,49,2881,FALSE
67,D,Ship,3,2,$109,3,medium,F,15,1710,FALSE
68,F,Ship,3,3,$158,3,low,F,6,1878,FALSE
69,A,Ship,4,2,$231,4,medium,F,6,2512,FALSE
70,B,Ship,3,5,$206,3,medium,M,39,2929,FALSE
71,C,Ship,5,1,$187,4,high,M,14,3849,FALSE
72,F,Ship,5,5,$230,2,low,F,2,2229,FALSE
73,D,Ship,5,5,$232,3,medium,F,33,2998,FALSE
74,F,Ship,4,5,$215,3,medium,F,21,3984,FALSE
75,A,Ship,6,1,$238,6,low,F,13,2442,FALSE
76,B,Ship,4,1,$266,3,low,F,23,3775,FALSE
77,C,Ship,2,3,$158,2,medium,F,36,1788,FALSE
78,F,Ship,3,3,$113,3,low,F,43,1518,FALSE
79,D,Ship,3,4,$223,3,low,M,18,3959,FALSE
80,F,Ship,3,5,$257,2,medium,F,56,3711,FALSE
81,A,Ship,3,4,$180,2,medium,F,49,1942,FALSE
82,B,Ship,2,5,$132,3,low,M,18,1759,FALSE
83,C,Ship,4,4,$217,3,high,F,26,2875,FALSE
84,F,Ship,5,5,$162,3,high,F,31,1364,FALSE
85,D,Ship,4,5,$197,2,medium,F,40,2710,FALSE
86,F,Ship,3,4,$197,3,medium,M,13,2148,FALSE
87,A,Ship,4,1,$185,2,low,M,44,2910,FALSE
88,B,Ship,6,2,$278,3,medium,F,3,2974,FALSE
89,C,Ship,3,3,$229,3,low,M,49,2339,FALSE
90,F,Ship,4,1,$186,4,medium,F,57,3880,FALSE
91,D,Ship,5,3,$174,6,high,F,41,1085,FALSE
92,F,Ship,5,5,$286,3,low,F,18,3163,FALSE
93,A,Ship,4,4,$175,2,medium,F,7,1188,FALSE
94,B,Ship,3,3,$219,3,medium,F,17,3387,FALSE
95,C,Ship,4,1,$213,4,high,F,35,2343,FALSE
96,F,Ship,2,3,$235,3,low,M,57,2034,FALSE
97,D,Ship,3,3,$149,2,medium,M,18,1225,FALSE
98,F,Ship,4,1,$271,2,medium,F,8,2401,FALSE
99,A,Ship,3,5,$144,4,medium,M,5,1104,FALSE
100,B,Ship,4,2,$145,2,medium,M,21,1617,FALSE
101,C,Ship,5,3,$143,2,medium,M,59,1837,FALSE
102,F,Ship,5,5,$227,4,low,M,53,2624,FALSE
103,D,Ship,2,1,$213,3,low,M,29,2732,FALSE
104,F,Ship,5,1,$144,4,low,M,37,1658,FALSE
105,A,Ship,3,3,$218,3,low,M,3,2255,FALSE
106,B,Ship,4,2,$144,3,medium,M,59,1588,FALSE
107,C,Ship,3,1,$238,3,low,M,17,2624,FALSE
108,F,Ship,4,5,$216,3,high,M,26,2053,FALSE
109,D,Ship,4,5,$238,3,high,F,55,3257,FALSE
110,F,Ship,4,1,$141,3,medium,M,47,1250,FALSE
111,A,Road,3,1,$158,2,low,M,2,1284,FALSE
112,B,Road,4,2,$239,3,low,F,65,3679,FALSE
113,C,Road,4,3,$175,2,low,M,25,1816,FALSE
114,F,Road,3,2,$263,3,low,M,41,2817,FALSE
115,D,Road,3,5,$168,2,high,M,50,1616,FALSE
116,F,Road,3,4,$176,3,high,M,36,1779,FALSE
117,A,Road,4,1,$150,4,high,M,60,1024,FALSE
118,B,Road,4,3,$265,2,medium,F,31,2326,FALSE
119,C,Road,2,5,$263,3,low,F,5,2947,FALSE
120,F,Road,5,1,$145,3,low,M,20,1387,FALSE
121,D,Road,4,2,$183,3,low,F,33,2741,FALSE
122,F,Road,3,3,$205,3,medium,F,19,2167,FALSE
123,A,Road,4,2,$160,3,low,M,64,1714,FALSE
124,B,Road,3,3,$252,2,medium,F,48,2102,FALSE
125,C,Road,5,5,$222,3,low,M,10,2280,FALSE
126,F,Road,3,3,$203,2,low,M,25,3607,FALSE
127,D,Road,4,5,$220,3,medium,M,40,3516,FALSE
128,F,Road,3,3,$147,4,low,F,60,1722,FALSE
129,A,Road,4,4,$200,4,medium,M,16,2060,FALSE
130,B,Road,4,5,$224,4,medium,M,21,2026,FALSE
131,C,Road,3,5,$179,2,low,F,17,1364,FALSE
132,F,Road,3,4,$144,3,low,M,50,1865,FALSE
133,D,Flight,5,2,$247,3,low,M,17,3889,FALSE
134,F,Flight,5,4,$280,6,medium,F,51,3582,FALSE
135,A,Flight,3,3,$168,2,medium,F,1,1829,FALSE
136,B,Flight,3,5,$157,3,medium,F,4,1889,FALSE
137,C,Flight,3,3,$189,4,medium,F,51,2208,FALSE
138,F,Flight,3,5,$162,2,medium,M,7,1739,FALSE
139,D,Flight,4,1,$207,5,low,M,48,2399,FALSE
140,F,Flight,5,1,$237,2,low,F,10,3860,FALSE
141,A,Flight,4,4,$264,3,high,M,59,2020,FALSE
142,B,Flight,5,4,$149,3,low,M,51,1645,FALSE
143,C,Flight,5,5,$162,3,low,M,41,1462,FALSE
144,F,Flight,2,1,$205,4,medium,F,63,2156,FALSE
145,D,Flight,2,1,$158,3,medium,F,51,1540,FALSE
146,F,Flight,2,2,$248,2,low,M,46,3707,FALSE
147,A,Flight,3,5,$191,3,low,M,23,3750,FALSE
148,B,Flight,4,3,$146,4,medium,F,24,1844,FALSE
149,C,Flight,3,3,$135,3,low,M,56,1490,FALSE
150,F,Flight,5,1,$149,3,low,M,40,1062,FALSE
151,D,Flight,4,4,$220,2,medium,F,7,2551,FALSE
152,F,Flight,5,3,$98,5,medium,M,44,1269,FALSE
153,A,Flight,3,4,$97,4,low,M,32,1238,FALSE
154,B,Flight,3,3,$183,2,low,M,53,3932,FALSE
155,C,Ship,3,3,$162,3,medium,F,8,1869,FALSE
156,F,Ship,5,1,$114,4,low,F,47,1443,FALSE
157,D,Ship,6,3,$275,5,low,M,41,2491,FALSE
158,F,Ship,3,2,$203,2,medium,F,39,3845,FALSE
159,A,Ship,5,5,$205,2,high,M,65,3671,FALSE
160,B,Ship,3,3,$149,3,low,F,63,1946,FALSE
161,C,Ship,2,2,$112,4,medium,M,56,1138,FALSE
162,F,Ship,3,1,$207,3,medium,F,56,3482,FALSE
163,D,Ship,4,1,$261,4,low,F,58,3427,FALSE
164,F,Ship,5,2,$274,3,medium,M,6,3375,FALSE
165,A,Ship,3,5,$141,2,low,M,52,1692,FALSE
166,B,Ship,3,3,$166,4,medium,F,17,1498,FALSE
167,C,Ship,5,2,$141,3,high,F,34,1020,FALSE
168,F,Ship,4,5,$152,3,low,M,43,1709,FALSE
169,D,Ship,4,2,$250,3,low,F,53,2478,FALSE
170,F,Ship,4,3,$161,3,medium,F,28,1809,FALSE
171,A,Ship,4,3,$185,3,medium,F,10,2263,FALSE
172,B,Ship,4,4,$176,4,high,F,52,1096,FALSE
173,C,Ship,3,4,$148,3,low,M,56,1550,FALSE
174,F,Ship,3,2,$270,3,low,F,63,2751,FALSE
175,D,Ship,3,3,$242,3,low,F,51,3935,FALSE
176,F,Ship,4,4,$150,2,medium,M,3,1285,FALSE
177,A,Ship,4,5,$192,3,high,M,20,3872,FALSE
178,B,Ship,4,5,$116,3,medium,M,54,1314,FALSE
179,C,Ship,3,3,$192,3,medium,F,2,3995,FALSE
180,F,Ship,5,5,$255,4,medium,M,3,3440,FALSE
181,D,Ship,4,1,$161,7,medium,F,18,1294,FALSE
182,F,Ship,4,5,$157,3,low,M,20,1487,FALSE
183,A,Ship,3,2,$164,10,high,F,28,1940,FALSE
184,B,Ship,3,5,$162,7,medium,F,16,1052,FALSE
185,C,Ship,3,3,$146,2,low,M,50,1486,FALSE
186,F,Ship,3,2,$209,3,medium,M,54,3001,FALSE
187,D,Ship,5,4,$134,2,medium,F,55,1386,FALSE
188,F,Ship,2,1,$222,2,medium,M,5,3778,FALSE
189,A,Ship,2,5,$139,3,low,F,27,1233,FALSE
190,B,Ship,2,4,$134,3,low,F,42,1415,FALSE
191,C,Ship,2,5,$130,3,low,M,16,1092,FALSE
192,F,Ship,2,5,$133,3,low,F,62,1596,FALSE
193,D,Ship,2,4,$140,3,low,F,7,1411,FALSE
194,F,Ship,2,2,$158,3,low,M,28,1968,FALSE
195,A,Ship,4,2,$270,4,low,F,46,1736,FALSE
196,B,Ship,2,5,$140,3,low,F,30,1030,FALSE
197,C,Ship,2,2,$135,3,low,M,15,1339,FALSE
198,F,Ship,2,3,$136,3,low,F,19,1568,FALSE
199,D,Ship,2,3,$142,3,medium,F,38,7640,FALSE
200,F,Ship,2,2,$154,3,medium,M,38,7846,FALSE
201,A,Ship,2,3,$139,3,low,M,9,1471,FALSE
202,B,Ship,2,3,$160,3,low,F,43,1251,FALSE
203,C,Ship,2,4,$134,3,low,M,58,1067,FALSE
204,F,Ship,5,3,$161,5,high,M,48,1883,FALSE
205,D,Ship,2,5,$155,3,low,M,23,1602,FALSE
206,F,Ship,2,3,$145,3,medium,F,24,7588,FALSE
207,A,Ship,2,2,$157,3,low,M,1,1477,FALSE
208,B,Ship,2,2,$160,3,low,M,48,1691,FALSE
209,C,Ship,2,4,$152,3,low,M,55,1498,FALSE
210,F,Ship,2,5,$148,3,high,F,11,1502,FALSE
211,D,Ship,2,1,$127,3,low,F,15,1522,FALSE
212,F,Ship,2,5,$154,3,low,F,21,1113,FALSE
213,A,Ship,2,5,$127,3,low,M,44,1341,FALSE
214,B,Ship,2,5,$160,3,medium,F,31,7401,FALSE
215,C,Ship,2,4,$129,3,low,F,48,1219,FALSE
216,F,Ship,2,5,$158,3,low,F,40,1722,FALSE
217,D,Ship,4,3,$185,3,medium,M,3,3131,FALSE
218,F,Ship,4,4,$176,4,high,F,63,1293,FALSE
219,A,Ship,3,4,$148,3,low,M,37,1523,FALSE
220,B,Ship,3,5,$270,3,low,M,60,3885,FALSE
221,C,Ship,3,4,$242,3,low,M,29,2381,FALSE
222,F,Ship,4,3,$150,2,medium,M,31,1588,FALSE
223,D,Ship,4,2,$192,3,high,M,4,2061,FALSE
224,F,Ship,4,5,$116,3,medium,F,9,1314,FALSE
225,A,Ship,3,4,$192,3,medium,F,31,3331,FALSE
226,B,Ship,5,4,$255,4,medium,F,38,2771,FALSE
227,C,Ship,4,3,$161,7,medium,M,63,1496,FALSE
228,F,Ship,4,2,$157,3,low,F,48,1393,FALSE
229,D,Ship,3,2,$164,10,high,M,14,1375,FALSE
230,F,Ship,3,3,$162,7,medium,F,42,1278,FALSE
231,A,Ship,3,1,$146,2,low,F,54,1528,FALSE
232,B,Ship,3,4,$209,3,medium,F,60,2240,FALSE
233,C,Ship,5,5,$134,2,medium,M,53,1088,FALSE
234,F,Ship,2,1,$222,2,medium,M,58,3626,FALSE
235,D,Ship,2,1,$139,3,low,F,39,1582,FALSE
236,F,Ship,2,2,$134,3,low,M,38,1352,FALSE
237,A,Ship,2,3,$130,3,low,F,48,1801,FALSE
238,B,Ship,2,2,$133,3,low,M,5,1268,FALSE
239,C,Ship,2,3,$140,3,low,F,23,1372,FALSE
240,F,Ship,2,3,$158,3,low,M,10,1515,FALSE
241,D,Ship,4,5,$270,4,low,M,65,1818,FALSE
242,F,Ship,2,4,$140,3,low,F,33,1278,FALSE
243,A,Ship,2,2,$135,3,low,M,58,1734,FALSE
244,B,Ship,2,4,$136,3,low,M,43,1958,FALSE
245,C,Ship,2,1,$142,3,medium,F,8,6064,FALSE
246,F,Ship,2,4,$154,3,medium,F,48,7684,FALSE
247,D,Ship,2,3,$139,3,low,F,3,1788,FALSE
248,F,Road,2,4,$160,3,low,F,50,1030,FALSE
249,A,Road,2,2,$134,3,low,F,38,1530,FALSE
250,B,Road,5,5,$161,5,high,F,54,1511,FALSE
251,C,Road,2,3,$155,3,low,F,45,1639,FALSE
252,F,Road,2,2,$145,3,medium,F,5,6102,FALSE
253,D,Road,2,1,$157,3,low,M,58,1930,FALSE
254,F,Road,2,5,$160,3,low,F,19,1399,FALSE
255,A,Road,2,2,$152,3,low,F,61,1800,FALSE
256,B,Road,2,2,$148,3,high,F,35,1349,FALSE
257,C,Road,2,2,$127,3,low,M,13,1128,FALSE
258,F,Road,2,2,$129,3,medium,F,22,6614,FALSE
259,D,Road,2,3,$158,3,low,F,13,1245,FALSE
260,F,Road,2,4,$147,3,low,M,5,1920,FALSE
261,A,Road,2,5,$159,3,low,F,49,1621,FALSE
262,B,Road,2,3,$151,3,low,F,23,1930,FALSE
263,C,Road,3,1,$294,4,low,F,52,1089,FALSE
264,F,Road,3,2,$226,2,medium,M,45,1446,FALSE
265,D,Road,5,3,$271,5,high,M,9,1813,FALSE
266,F,Road,7,2,$203,5,medium,F,61,1856,FALSE
267,A,Road,2,3,$264,4,low,F,10,1648,FALSE
268,B,Road,4,1,$258,3,medium,M,36,2211,FALSE
269,C,Road,3,5,$241,3,low,F,21,3078,FALSE
270,F,Flight,4,5,$208,3,medium,M,23,2056,FALSE
271,D,Flight,3,2,$209,5,medium,F,12,3054,FALSE
272,F,Flight,5,1,$182,2,medium,F,23,2707,FALSE
273,A,Flight,4,5,$148,2,medium,F,43,1087,FALSE
274,B,Flight,2,3,$183,2,medium,F,52,3199,FALSE
275,C,Flight,3,5,$229,6,medium,M,22,2717,FALSE
276,F,Flight,5,5,$115,5,low,F,26,1692,FALSE
277,D,Flight,4,2,$136,3,low,F,65,1962,FALSE
278,F,Flight,4,4,$212,3,low,M,21,3307,FALSE
279,A,Flight,4,3,$171,3,low,F,24,1304,FALSE
280,B,Flight,3,1,$151,2,low,M,60,1925,FALSE
281,C,Flight,3,1,$205,3,medium,M,39,3062,FALSE
282,F,Flight,5,4,$147,3,medium,M,23,1132,FALSE
283,D,Flight,3,3,$155,3,low,F,29,1712,FALSE
284,F,Flight,5,4,$165,3,low,F,20,1150,FALSE
285,A,Flight,5,5,$230,3,low,F,32,3249,FALSE
286,B,Flight,2,4,$181,4,medium,M,13,2309,FALSE
287,C,Flight,5,3,$234,2,low,F,55,3308,FALSE
288,F,Flight,4,4,$149,3,low,M,34,1977,FALSE
289,D,Flight,5,5,$156,2,low,M,44,1561,FALSE
290,F,Flight,4,2,$172,3,medium,F,59,1858,FALSE
291,A,Flight,4,4,$270,3,low,M,12,3279,FALSE
292,B,Ship,4,1,$206,3,medium,M,23,3807,FALSE
293,C,Ship,4,3,$211,4,medium,M,40,3106,FALSE
294,F,Ship,3,2,$136,4,low,M,62,1090,FALSE
295,D,Ship,5,1,$186,2,high,F,52,3981,FALSE
296,F,Ship,3,1,$202,2,medium,M,62,3398,FALSE
297,A,Ship,4,2,$183,3,medium,F,12,3646,FALSE
298,B,Ship,4,4,$232,2,low,M,36,2861,FALSE
299,C,Ship,4,2,$147,4,medium,M,52,1129,FALSE
300,F,Ship,4,3,$136,3,medium,M,20,1531,FALSE
301,D,Ship,5,3,$127,3,low,F,43,1446,FALSE
302,F,Ship,4,5,$202,2,medium,M,35,3695,FALSE
303,A,Ship,3,4,$241,2,low,M,57,3671,FALSE
304,B,Ship,4,3,$222,2,medium,M,55,3833,FALSE
305,C,Ship,3,2,$183,4,medium,F,12,2777,FALSE
306,F,Ship,4,4,$249,3,medium,F,36,3769,FALSE
307,D,Ship,3,1,$243,4,high,M,59,3838,FALSE
308,F,Ship,3,3,$163,3,medium,M,9,1257,FALSE
309,A,Ship,4,2,$165,2,high,M,11,1596,FALSE
310,B,Ship,5,5,$266,3,medium,F,53,3089,FALSE
311,C,Ship,3,4,$193,2,medium,M,48,3909,FALSE
312,F,Ship,3,2,$154,3,low,F,56,1136,FALSE
313,D,Ship,3,3,$140,3,medium,M,51,1046,FALSE
314,F,Ship,4,3,$272,3,medium,M,38,3705,FALSE
315,A,Ship,4,2,$143,6,medium,M,20,1654,FALSE
316,B,Ship,4,2,$138,3,low,F,30,1805,FALSE
317,C,Ship,4,2,$238,2,high,M,17,3358,FALSE
318,F,Ship,4,5,$273,4,medium,F,31,2373,FALSE
319,D,Ship,3,1,$200,2,medium,M,27,2551,FALSE
320,F,Ship,4,5,$213,4,low,M,39,2381,FALSE
321,A,Ship,3,4,$224,2,medium,F,15,2701,FALSE
322,B,Ship,4,5,$141,3,medium,M,12,1672,FALSE
323,C,Ship,3,3,$150,3,low,M,46,1040,FALSE
324,F,Ship,3,1,$192,2,low,M,33,2818,FALSE
325,D,Ship,5,1,$279,4,medium,F,24,3440,FALSE
326,F,Ship,3,4,$246,3,medium,M,30,3748,FALSE
327,A,Ship,3,4,$173,3,medium,M,52,1587,FALSE
328,B,Ship,4,4,$233,4,medium,F,59,2358,FALSE
329,C,Ship,5,1,$274,2,medium,M,24,2423,FALSE
330,F,Ship,4,5,$243,4,medium,F,41,2782,FALSE
331,D,Ship,3,4,$197,3,medium,F,56,3427,FALSE
332,F,Ship,4,3,$140,3,high,F,46,1072,FALSE
333,A,Ship,3,5,$215,3,medium,F,22,2585,FALSE
334,B,Ship,3,4,$211,3,medium,M,8,3710,FALSE
335,C,Ship,4,2,$220,5,low,M,33,2854,FALSE
336,F,Ship,3,1,$194,4,low,M,64,2026,FALSE
337,D,Ship,5,1,$262,3,medium,F,58,3599,FALSE
338,F,Ship,4,4,$201,2,low,F,1,3147,FALSE
339,A,Ship,3,5,$261,3,medium,M,15,2989,FALSE
340,B,Ship,4,4,$191,6,low,F,60,3425,FALSE
341,C,Ship,2,5,$255,5,medium,F,53,3775,FALSE
342,F,Ship,3,2,$169,2,high,M,30,1698,FALSE
343,D,Ship,4,5,$162,2,medium,M,64,1918,FALSE
344,F,Ship,2,5,$248,6,low,F,62,2750,FALSE
345,A,Ship,5,3,$197,4,low,F,2,2222,FALSE
346,B,Ship,5,1,$264,3,low,M,6,2882,FALSE
347,C,Ship,5,5,$260,2,medium,F,55,2791,FALSE
348,F,Ship,5,3,$186,2,medium,F,58,2259,FALSE
349,D,Ship,4,5,$233,4,low,F,44,2551,FALSE
350,F,Ship,5,1,$161,3,low,M,47,1954,FALSE
351,A,Ship,4,5,$188,3,low,F,13,2409,FALSE
352,B,Ship,5,5,$171,2,medium,F,22,1695,FALSE
353,C,Ship,2,2,$267,3,medium,M,15,2481,FALSE
354,F,Ship,4,3,$255,2,high,M,47,2956,FALSE
355,D,Ship,3,2,$132,3,low,F,56,1303,FALSE
356,F,Ship,5,1,$266,3,low,F,31,3157,FALSE
357,A,Ship,3,4,$198,2,low,M,25,2774,FALSE
358,B,Ship,2,3,$247,2,medium,F,62,3127,FALSE
359,C,Ship,3,1,$140,3,medium,F,65,1291,FALSE
360,F,Ship,4,3,$131,5,low,M,6,1659,FALSE
361,D,Ship,5,2,$246,3,medium,M,49,3236,FALSE
362,F,Ship,3,2,$159,3,medium,F,4,1681,FALSE
363,A,Ship,3,5,$203,2,medium,M,61,3642,FALSE
364,B,Ship,4,3,$187,4,high,F,29,3141,FALSE
365,C,Ship,6,2,$146,3,low,F,62,1936,FALSE
366,F,Ship,3,2,$234,3,medium,M,39,2099,FALSE
367,D,Ship,3,4,$122,3,high,F,15,1354,FALSE
368,F,Ship,3,3,$135,3,low,M,8,1074,FALSE
369,A,Ship,3,5,$103,3,low,M,3,1403,FALSE
370,B,Ship,3,5,$257,3,medium,F,19,2173,FALSE
371,C,Ship,4,3,$169,2,low,M,2,1399,FALSE
372,F,Ship,4,5,$159,3,medium,M,18,1808,FALSE
373,D,Ship,4,5,$188,3,low,M,38,3031,FALSE
374,F,Ship,5,1,$136,3,medium,M,19,1420,FALSE
375,A,Ship,5,1,$227,3,low,F,19,3007,FALSE
376,B,Ship,3,5,$262,2,low,F,53,3275,FALSE
377,C,Ship,2,3,$157,2,low,M,45,1965,FALSE
378,F,Ship,5,3,$238,2,medium,F,21,2053,FALSE
379,D,Ship,3,5,$152,3,low,M,43,1282,FALSE
380,F,Ship,3,2,$201,3,medium,M,5,2040,FALSE
381,A,Ship,3,4,$148,2,low,M,54,1778,FALSE
382,B,Ship,5,2,$199,4,low,F,59,2885,FALSE
383,C,Ship,5,4,$215,2,low,F,45,3501,FALSE
384,F,Ship,4,5,$175,2,low,M,40,1270,FALSE
385,D,Road,4,3,$236,2,high,M,23,3123,FALSE
386,F,Road,2,5,$182,2,medium,F,57,2896,FALSE
387,A,Road,3,1,$251,3,medium,M,42,3698,FALSE
388,B,Road,5,2,$173,3,low,F,7,1855,FALSE
389,C,Road,4,3,$225,3,low,F,62,2587,FALSE
390,F,Road,4,2,$167,4,low,F,20,1705,FALSE
391,D,Road,4,1,$259,3,low,M,20,2154,FALSE
392,F,Road,4,1,$178,3,medium,F,63,1573,FALSE
393,A,Road,4,4,$178,4,medium,F,13,1614,FALSE
394,B,Road,5,4,$169,2,low,F,20,1765,FALSE
395,C,Road,3,2,$272,2,low,M,33,2321,FALSE
396,F,Road,4,4,$183,3,low,M,29,3251,FALSE
397,D,Road,3,4,$205,3,low,F,10,2728,FALSE
398,F,Road,2,1,$123,4,low,F,53,1036,FALSE
399,A,Road,4,3,$152,3,low,M,58,1453,FALSE
400,B,Road,3,1,$220,2,high,F,40,3773,FALSE
401,C,Road,4,3,$134,3,low,M,51,1965,FALSE
402,F,Road,3,2,$217,2,high,M,19,2992,FALSE
403,D,Road,3,2,$265,3,low,F,49,2791,FALSE
404,F,Road,4,2,$249,5,medium,M,36,3836,FALSE
405,A,Road,5,3,$213,4,medium,F,50,2003,FALSE
406,B,Road,2,2,$124,3,low,F,56,1494,FALSE
407,C,Flight,4,1,$180,2,low,M,23,1193,FALSE
408,F,Flight,4,5,$193,3,medium,M,65,2267,FALSE
409,D,Flight,3,2,$192,3,medium,M,43,3339,FALSE
410,F,Flight,2,5,$166,3,medium,M,3,1832,FALSE
411,A,Flight,3,2,$264,3,medium,M,5,3861,FALSE
412,B,Flight,3,4,$200,2,medium,M,14,3528,FALSE
413,C,Flight,4,3,$142,4,medium,M,12,1396,FALSE
414,F,Flight,4,1,$215,2,low,M,32,3066,FALSE
415,D,Flight,2,1,$218,2,low,M,15,2745,FALSE
416,F,Flight,3,2,$115,3,low,F,27,1814,FALSE
417,A,Flight,4,3,$159,3,low,M,33,1330,FALSE
418,B,Flight,5,5,$133,3,low,M,63,1218,FALSE
419,C,Flight,5,2,$178,3,low,M,48,1517,FALSE
420,F,Flight,4,2,$134,2,low,F,43,1714,FALSE
421,D,Flight,3,1,$184,5,medium,F,58,2544,FALSE
422,F,Flight,4,2,$251,2,medium,M,24,2405,FALSE
423,A,Flight,3,2,$141,3,low,M,7,1933,FALSE
424,B,Flight,4,4,$229,2,medium,M,45,3776,FALSE
425,C,Flight,4,1,$203,4,low,M,34,3813,FALSE
426,F,Flight,4,3,$158,3,medium,F,57,1911,FALSE
427,D,Flight,3,4,$167,3,medium,M,52,1755,FALSE
428,F,Flight,5,4,$197,4,low,F,40,3303,FALSE
429,A,Ship,2,2,$140,3,low,F,19,1806,FALSE
430,B,Ship,5,1,$205,2,medium,M,27,3569,FALSE
431,C,Ship,5,5,$208,3,low,F,45,2018,FALSE
432,F,Ship,4,2,$96,3,low,M,22,1294,FALSE
433,D,Ship,6,4,$205,3,low,F,44,2064,FALSE
434,F,Ship,4,2,$215,3,medium,F,48,2953,FALSE
435,A,Ship,4,1,$216,3,low,F,43,2643,FALSE
436,B,Ship,3,1,$112,2,high,M,22,1846,FALSE
437,C,Ship,5,4,$222,3,low,F,20,3632,FALSE
438,F,Ship,5,2,$186,3,medium,F,15,2153,FALSE
439,D,Ship,3,5,$241,3,medium,M,48,2841,FALSE
440,F,Ship,3,3,$172,3,low,F,58,1269,FALSE
441,A,Ship,3,5,$251,2,high,M,23,2426,FALSE
